Dataset,Model,Temperature,Predicted Value
Lunches,LightGBM,16.16717171717172,1139.3651798446442
Lunches,LightGBM,16.447222222222223,1138.937527631277
Lunches,LightGBM,16.727272727272727,1139.6211361814026
Lunches,LightGBM,17.00732323232323,1131.8632058667524
Lunches,LightGBM,17.287373737373738,1133.1376793610345
Lunches,LightGBM,17.56742424242424,1129.5162450796763
Lunches,LightGBM,17.84747474747475,1129.9000173676914
Lunches,LightGBM,18.127525252525253,1128.439838570627
Lunches,LightGBM,18.407575757575756,1129.374361207309
Lunches,LightGBM,18.68762626262626,1130.4741253668874
Lunches,LightGBM,18.967676767676767,1132.2682947700575
Lunches,LightGBM,19.247727272727275,1132.058877046574
Lunches,LightGBM,19.52777777777778,1131.874395506043
Lunches,LightGBM,19.807828282828282,1129.9402823604526
Lunches,LightGBM,20.087878787878786,1117.0636968891913
Lunches,LightGBM,20.367929292929293,1104.9983426622878
Lunches,LightGBM,20.647979797979797,1105.4325186697433
Lunches,LightGBM,20.928030303030305,1105.3521436664882
Lunches,LightGBM,21.20808080808081,1105.7535671468643
Lunches,LightGBM,21.488131313131312,1105.8563784077755
Lunches,LightGBM,21.76818181818182,1106.1868501142635
Lunches,LightGBM,22.048232323232323,1098.842759702034
Lunches,LightGBM,22.328282828282827,1092.1977327359893
Lunches,LightGBM,22.608333333333334,1091.6288187946543
Lunches,LightGBM,22.888383838383838,1039.474892247037
Lunches,LightGBM,23.168434343434342,1039.474892247037
Lunches,LightGBM,23.44848484848485,1069.6025910581832
Lunches,LightGBM,23.728535353535353,1066.0870723042221
Lunches,LightGBM,24.00858585858586,1066.4137955166084
Lunches,LightGBM,24.288636363636364,1080.0201951755403
Lunches,LightGBM,24.568686868686868,1080.0201951755403
Lunches,LightGBM,24.848737373737375,1055.565413370033
Lunches,LightGBM,25.12878787878788,1051.5727779815027
Lunches,LightGBM,25.408838383838383,1051.5727779815027
Lunches,LightGBM,25.68888888888889,1051.108437973493
Lunches,LightGBM,25.968939393939394,1038.193421071888
Lunches,LightGBM,26.248989898989898,1038.193421071888
Lunches,LightGBM,26.529040404040405,1004.8252158114378
Lunches,LightGBM,26.80909090909091,989.6950870954447
Lunches,LightGBM,27.089141414141412,989.6950870954447
Lunches,LightGBM,27.36919191919192,989.6950870954447
Lunches,LightGBM,27.649242424242424,986.84901854837
Lunches,LightGBM,27.92929292929293,959.0639910189298
Lunches,LightGBM,28.209343434343435,959.0639910189298
Lunches,LightGBM,28.48939393939394,959.0639910189298
Lunches,LightGBM,28.769444444444446,959.0639910189298
Lunches,LightGBM,29.04949494949495,959.0639910189298
Lunches,LightGBM,29.329545454545453,960.9303096152281
Lunches,LightGBM,29.60959595959596,960.9303096152281
Lunches,LightGBM,29.889646464646464,960.9303096152281
Lunches,LightGBM,30.169696969696968,960.9303096152281
Lunches,LightGBM,30.449747474747475,960.9303096152281
Lunches,LightGBM,30.72979797979798,960.9303096152281
Lunches,LightGBM,31.009848484848483,960.9303096152281
