Dataset,Model,15 Job count,Predicted Value
Mornings,LightGBM,170964.82828282827,724.4460411896331
Mornings,LightGBM,173594.87878787878,723.7634866029982
Mornings,LightGBM,176224.92929292927,723.7634866029982
Mornings,LightGBM,178854.9797979798,722.0262971085291
Mornings,LightGBM,181485.0303030303,722.1936769642905
Mornings,LightGBM,184115.0808080808,723.2736034334289
Mornings,LightGBM,186745.1313131313,726.5925662400069
Mornings,LightGBM,189375.1818181818,726.231040263755
Mornings,LightGBM,192005.2323232323,731.6679481846942
Mornings,LightGBM,194635.28282828283,731.743587599536
Mornings,LightGBM,197265.3333333333,731.4344135035985
Mornings,LightGBM,199895.38383838383,731.4344135035985
Mornings,LightGBM,202525.43434343432,731.897872703354
Mornings,LightGBM,205155.48484848483,729.1369617984464
Mornings,LightGBM,207785.53535353535,729.3014960777349
